"stage_order","stage","experiment_family","title","status","research_question","design","methods","key_results","scientific_conclusion","limitations","source_tex","detailed_source","dense_experiment_ids"
"4","sampled_tabular_handoff","step4_handoff","Temporary sampled conditional barrier","complete","After a practical barrier moves the adverse policy out of the safe basin, can reward-only learning finish the task?","N=32, alpha=0.05, 4000 updates, 100 paired seeds; sampled barrier beta=0.2 until update 2000 and zero afterward.","Reward only; fixed sampled conditional; sampled conditional handoff; full-oracle handoff diagnostic.","At adverse start, final return was 0.495 reward-only, 0.619 fixed barrier, 0.979 sampled handoff, and 0.981 full-oracle handoff. The practical handoff ended at q=0.987 and p_good=0.989.","Temporary conditional protection can move the policy into a basin where ordinary reward optimization becomes self-sustaining.","The exact full-oracle handoff is an upper reference, not the practical candidate algorithm.","exploration/sampled_tabular_mdp/sampled_two_state.tex","exploration/results/tabular_mdp/two_step_trap_sampled/handoff/full/summary.csv","step4_handoff_main;step4_handoff_paired;step4_handoff_change"
"4","sampled_tabular_handoff","step4_switch_robustness","Handoff switch-time robustness","complete","Was update 2000 accidentally an ideal handoff time?","N=32, beta=0.2, 4000 updates, 100 paired seeds; switch in {500,1000,1500,2000,2500}.","Five temporary sampled-conditional schedules.","At adverse start, switch 500 failed with final J=0.494, while switches 1000,1500,2000,2500 reached J=0.983,0.983,0.979,0.973 respectively.","The result is robust across a broad successful switch window but exhibits a transition between updates 500 and 1000.","This is a narrow schedule robustness check, not a broad hyperparameter search.","exploration/sampled_tabular_mdp/sampled_two_state.tex","exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/final_endpoints.csv","step4_switch_time_sweep;step4_switch_time_paired"
"4","sampled_tabular_handoff","step4_handoff_posthoc","Focused handoff-threshold post-hoc analysis","complete","What condition is present at successful switches 1000/1500 but absent at failed switch 500?","Archive-based policy reconstruction at switch, +50,+100,+250,+500, and final checkpoints, with reward-vector-field counterfactual continuations.","Switch schedules 500,1000,1500, with 2000/2500 endpoint controls.","Behavioral quantities and the exact reward-only vector field changed across the transition; improved Fisher geometry accompanied it but was not a unique explanatory threshold.","The most defensible explanation is a behavioral/reward-gradient feedback threshold that makes post-handoff learning self-sustaining.","Post-hoc checkpoint associations cannot establish geometric causality.","exploration/sampled_tabular_mdp/sampled_two_state.tex","exploration/results/tabular_mdp/two_step_trap_sampled/handoff_posthoc/posthoc_manifest.json","step4_posthoc_switch_summary;step4_posthoc_endpoint_summary;step4_posthoc_counterfactual_summary"
"5","neural_discrete","neural_smoke_and_original_pilot","Neural discrete smoke and original Acrobot pilot","complete_superseded","Does the neural conditional barrier execute, and does the original Acrobot setup learn at all?","CartPole smoke followed by a short Acrobot learning-rate pilot.","Reward-only and regularized neural categorical policies.","CartPole completed finitely; all original Acrobot candidates ended at -500.","The barrier pipeline worked, but Acrobot required a learning-capable baseline before any comparison.","The Acrobot pilot is superseded and cannot be used as evidence against GPOMDP or the barrier.","exploration/neural_discrete_log_barrier/acrobot_reliability_extension.tex","exploration/results/neural_discrete_log_barrier/cartpole_smoke/smoke_result.json","neural_cartpole_smoke;neural_original_acrobot_pilot"
"5","neural_discrete","neural_initial_confirmatory","Initial Acrobot negative confirmatory gate","complete_superseded","Did the first fixed-budget neural comparison demonstrate a barrier effect?","Ten seeds and the original interaction-budget collector, with GPOMDP variants and NPG.","Reward-only; fixed entropy; fixed barrier; handoff barrier; NPG.","Every method and seed ended at deterministic return -500; fixed-reference spectra differed little across GPOMDP variants.","No barrier conclusion was possible because reward-only GPOMDP also failed; the stage motivated baseline repair.","Superseded protocol; do not combine its endpoints with the later complete-episode experiments.","exploration/neural_discrete_log_barrier/acrobot_reliability_extension.tex","exploration/results/neural_discrete_log_barrier/report.md","neural_initial_confirmatory_failures;neural_initial_confirmatory_paired;neural_initial_fisher_analysis"
"5","neural_discrete","neural_baseline_selection","Acrobot GPOMDP learning-rate selection","complete","Which learning rate makes reward-only GPOMDP reliably learn before introducing a regularizer?","Rates 1e-4 through 1e-2 screened for 300 updates; best two continued to 1000 updates.","Reward-only GPOMDP only.","Learning rate 0.003 was selected for confirmation under complete-episode updates.","This isolates regularizer effects from a broken reward-only baseline.","Small pilot cohorts select a configuration; they are not method-effect estimates.","exploration/neural_discrete_log_barrier/acrobot_reliability_extension.tex","exploration/results/neural_discrete_log_barrier/acrobot_gpomdp_baseline/lr_continuation_1000_updates/continuation_result.json","neural_lr_screen;neural_lr_continuation"
"5","neural_discrete","neural_baseline_confirmation","Five-seed GPOMDP baseline gate","complete_passed","Does the selected reward-only configuration learn Acrobot reliably enough to authorize ablations?","Five new seeds, lr=0.003, 1000 updates, 8000 complete episodes per seed.","Reward-only GPOMDP.","Median final stochastic return -86.656; termination rate 1.0; mean improvement 409.213 [394.822,423.603]; all five seeds improved by at least 100.","The predeclared baseline gate passed and regularizer experiments became interpretable.","Five seeds establish viability, not a precise catastrophic-failure rate.","exploration/neural_discrete_log_barrier/acrobot_reliability_extension.tex","exploration/results/neural_discrete_log_barrier/acrobot_gpomdp_baseline/gpomdp_confirmation_1000_updates/confirmation_result.json","neural_gpomdp_baseline_confirmation"
"5","neural_discrete","neural_calibration","Independent regularizer coefficient calibration","complete","How can entropy and barrier scales be chosen without outcome tuning?","Five disjoint early-policy seeds; match median scaled regularizer norm to 0.3 times reward-gradient norm.","Conditional log barrier and entropy.","Selected barrier beta=546.4135159 and entropy coefficient=588.8195483 without inspecting final reward outcomes.","Initial gradient-norm matching provides a declared scale control for the ablation.","It equalizes initial norm, not direction, objective meaning, or later gradient magnitude.","exploration/neural_discrete_log_barrier/acrobot_reliability_extension.tex","exploration/results/neural_discrete_log_barrier/acrobot_gpomdp_regularizer_ablation/calibration/early_gradient_audit.csv","neural_regularizer_calibration"
"5","neural_discrete","neural_five_seed_ablation","Five-seed neural regularizer ablation","complete","Do permanent entropy/barrier controls or a temporary barrier improve on the validated baseline?","Five paired seeds, lr=0.003, 1000 updates; handoff after 25%.","Reward only; fixed entropy; fixed barrier; 25% barrier handoff.","Mean final stochastic returns were -168.431, -246.844, -251.319, and -88.006 respectively. Reward-only failed on 1/5; handoff on 0/5.","The temporary schedule was promising, while permanent regularization imposed persistent exploration cost.","Five-seed paired intervals were wide; this was a mechanism pilot.","exploration/neural_discrete_log_barrier/acrobot_reliability_extension.tex","exploration/results/neural_discrete_log_barrier/acrobot_gpomdp_regularizer_ablation/five_seed_1000_updates/ablation_result.json","neural_five_seed_ablation;neural_five_seed_ablation_paired"
"5","neural_discrete","neural_seed402_audit","Seed 402 paired divergence audit","complete","Did the barrier prevent a collapse unique to one failed reward-only seed?","Every stored checkpoint for seed 402 and successful control seed 403; on-policy and fixed-reference Fishers.","Reward only versus 25% barrier handoff.","The methods diverged in behavior and action support, but no single Fisher-rank or determinant threshold explained success.","The audit supported an optimization-basin interpretation and motivated a larger reliability cohort.","Outcome-selected case study; not a population causal estimate.","exploration/neural_discrete_log_barrier/acrobot_reliability_extension.tex","exploration/results/neural_discrete_log_barrier/acrobot_gpomdp_regularizer_ablation/seed_402_divergence_audit/checkpoint_audit.csv","neural_seed402_divergence_audit"
"5","neural_discrete","neural_reliability_20","Twenty-seed reliability confirmation","complete","Does the temporary barrier reduce seed-level catastrophic failures beyond the five-seed pilot?","Twenty paired primary seeds; fixed controls on ten seeds; 1000 updates and 25% handoff.","Reward only; handoff primary; fixed entropy and fixed barrier secondary.","Reward-only failed 2/20 and handoff 0/20. Mean final return was -129.366 versus -89.433; paired difference +39.933 [-20.221,100.087].","The failure pattern persisted descriptively and justified the frozen extension to 60 pairs.","The paired return interval included zero and failure events were still few.","exploration/neural_discrete_log_barrier/acrobot_reliability_extension.tex","exploration/results/neural_discrete_log_barrier/acrobot_gpomdp_regularizer_ablation/reliability_confirmation_20_seeds/method_summaries.csv","neural_reliability_20;neural_reliability_20_paired"
"5","neural_discrete","neural_reliability_60","Final 60-pair Acrobot reliability extension","complete","Under the frozen protocol, does a 25% temporary barrier reduce catastrophic failure?","Sixty paired seeds, lr=0.003, 1000 updates, 8000 complete episodes, centered unnormalized returns, beta=546.414 until update 250.","Reward-only GPOMDP versus temporary conditional categorical log barrier.","Failures were 8/60 (13.33%, Wilson [6.91%,24.17%]) versus 2/60 (3.33%, [0.92%,11.36%]). Paired failure difference -0.100 [-0.203,0.003]; exact McNemar p=0.109375. Final-return difference was +39.029 [-3.227,81.285]; AUC difference +1.116 [-25.390,27.622].","The handoff produced a large descriptive reliability improvement, but the primary paired inference remained statistically unresolved and there was no general AUC benefit.","The result is promising rather than conclusive; two reward-only successes were harmed by handoff.","exploration/neural_discrete_log_barrier/acrobot_reliability_extension.tex","exploration/results/neural_discrete_log_barrier/acrobot_gpomdp_regularizer_ablation/reliability_extension_60_total/combined_result.json","neural_reliability_60;neural_reliability_60_paired;neural_reliability_60_mcnemar;neural_reliability_60_seed_endpoints"
"5","neural_discrete","neural_discordant_mechanism","Final discordant-seed mechanism analysis","complete","What differs in seeds where reward-only and handoff disagree on catastrophic failure?","All ten discordant seeds, both methods, reference-bank action distributions, margins, disagreement states, visitation frequencies, and return milestones.","Eight reward-failed/handoff-succeeded pairs and two reward-succeeded/handoff-failed pairs.","Handoff rescued seeds 512,517,532,538,542,550,557,560 but harmed 545 and 556. Seed 556 showed harmful suppression of useful specialization; seed 545 showed a late reward-only escape.","Temporary support protection changes the optimization basin and can either rescue exploration or delay useful specialization.","Selected on outcome discordance; descriptive and noncausal.","exploration/neural_discrete_log_barrier/acrobot_reliability_extension.tex","exploration/results/neural_discrete_log_barrier/acrobot_gpomdp_regularizer_ablation/reliability_extension_60_total/discordant_seed_diagnostics.csv","neural_reliability_60_discordant_diagnostics"
"5","neural_discrete","neural_quarantine","Legacy fixed-segment collector quarantine","quarantined_invalid_for_science","Why are some early Acrobot artifacts excluded?","Legacy fixed-length segments that prematurely truncated episodes.","Early neural pilot methods.","The implementation flaw was documented and the artifacts were retained only for auditability.","No outcome from this collector enters the scientific synthesis.","Invalid for scientific comparison.","","exploration/results/neural_discrete_log_barrier/acrobot_pilot_fixed_segment_quarantine/run_summaries.json","neural_legacy_fixed_segment_pilot"
